nivel_educativo;nombre_escuela;tipo_escuela;sexo;edad;grado;grupo;fecha_aplicacion;a_convivencia;b_vivienda;c_negocio_familiar;p01_has_escuchado_educacion_financiera;p02_conoces_significado_educacion_financiera;p03_te_gustaria_aprender_educacion_financiera;p04_consideras_importante_educacion_financiera;p05_definicion_educacion_financiera;p06_conoces_significado_ahorro;p07_tienes_cuenta_ahorro;p08_constante_responsable_ahorrar;p09_opinion_credito_banco_caja;p10_conoces_que_es_credito;p11_conoces_que_es_presupuesto;p12_conoces_tasa_interes;p13_comprendes_que_es_inversion;p14_entendes_inflacion;p15_entendes_devaluacion_dinero;p16_diferencias_tarjeta_credito_debito;p17_ahorras_fuera_instituciones;p18_como_gustarian_clases
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Propia;Sí;5;5;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;4;5;5;5;5;5;5;5;Sí;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Propia;No;2;2;3;5;a) Estrategias para manejo de finanzas personales;5;No;5;1;1;5;1;1;1;3;4;Sí;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Propia;No;3;3;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;3;4;5;5;1;5;3;3;5;Sí;Divertidas, entretenidas e interesantes
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Propia;Sí;3;2;3;4;b) Habilidades y conocimientos para el dinero;3;Sí;3;2;1;1;1;2;1;2;2;Sí;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Propia;Sí;2;1;3;5;b) Habilidades y conocimientos para el dinero;3;Sí;4;3;3;1;1;2;2;1;2;No;Exposiciones, ejemplos y practicas
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Propia;Sí;1;1;3;3;c) Ninguna;5;Sí;3;3;1;3;1;3;5;1;3;Sí;Sin comentarios
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Propia;No;3;3;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;3;1;2;1;1;1;1;1;1;No;Que me den plata
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Rentada;No;3;2;5;4;a) Estrategias para manejo de finanzas personales;5;Sí;4;3;2;4;3;5;3;4;3;Sí;Videos y clases interactivas
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Propia;No;3;4;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;5;3;5;5;5;5;5;4;No;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Hombre;15;3;B;19/3/2025;Uno de ellos;Rentada;No;5;3;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;3;1;4;4;5;5;5;5;4;Sí;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;B;19/3/2025;Padres;Propia;Sí;2;1;4;5;a) Estrategias para manejo de finanzas personales;4;Sí;4;3;2;3;1;4;2;1;1;Sí;Exposiciones, ejemplos y practicas
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Rentada;Sí;1;1;5;5;b) Habilidades y conocimientos para el dinero;5;Sí;3;5;5;5;1;5;3;2;5;Sí;No se
Secundaria;Efran Gonzlez Luna;Pública;Hombre;15;3;B;19/3/2025;Padres;Propia;No;3;3;4;5;a) Estrategias para manejo de finanzas personales;5;No;4;3;3;3;2;4;4;3;4;Sí;Explicacin, estrategias y actividades
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Rentada;Sí;3;3;3;3;a) Estrategias para manejo de finanzas personales;4;Sí;4;3;4;4;4;4;5;3;2;Sí;Videos y clases interactivas
Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;B;19/3/2025;Padres;Propia;No;3;3;3;3;a) Estrategias para manejo de finanzas personales;2;No;3;3;4;3;4;2;3;3;3;Sí;Videos y clases interactivas
